name;type;status;date;genres;score;members;rank;popularity;image;quantity
.hack//Tasogare no Udewa Densetsu.hack//Legend Of The Twilight;TV;Finished Airing;Jan 9, 2003 to Mar 27, 2003;Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen;6.60;N/A;5335;1933;N/A;12
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou.hack//Legend of the Twilight Offline Meeting Special;Special;Finished Airing;Oct 24, 2003;Adventure, Comedy, Fantasy, Game, Sci-Fi;6.18;N/A;7325;4628;N/A;1
.hack//The Movie: Sekai no Mukou ni;Movie;Finished Airing;Jan 21, 2012;Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi;7.15;N/A;2947;3928;https://cdn.myanimelist.net/images/anime/2/35633.jpg;1
.hack//Unison;Special;Finished Airing;Oct 24, 2003;Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi;6.69;N/A;4873;3444;https://cdn.myanimelist.net/images/anime/2/23078.jpg;1
.hack//Versus: The Thanatos Report;Special;Finished Airing;Jun 28, 2012;Action, Game, Sci-Fi;6.37;N/A;6431;5712;https://cdn.myanimelist.net/images/anime/10/42325.jpg;1
0-sen Hayato;TV;Finished Airing;Jan 21, 1964 to Oct 27, 1964;Historical, Military;N/A;563;12904;11570;https://cdn.myanimelist.net/images/anime/6/35847.jpg;38
0-sen Hayato Pilot;OVA;Finished Airing;1985;Military, Historical;N/A;268;12905;13532;https://cdn.myanimelist.net/images/anime/3/81775.jpg;1
1;ONA;Finished Airing;Feb 7, 2013;Comedy;3.26;N/A;10755;5106;https://cdn.myanimelist.net/images/anime/6/71882.jpg;1
009 Re:Cyborg;Movie;Finished Airing;Oct 27, 2012;Action, Adventure, Mecha, Sci-Fi;6.55;N/A;5544;4206;https://cdn.myanimelist.net/images/anime/9/40189.jpg;1
009 Re:Cyborg x Zip;ONA;Finished Airing;Oct 15, 2012 to Oct 26, 2012;Comedy, Super Power;5.09;998;10232;10228;https://cdn.myanimelist.net/images/anime/6/78556.jpg;10
009-1;TV;Finished Airing;Oct 6, 2006 to Dec 22, 2006;Action, Mecha, Sci-Fi, Seinen;6.27;N/A;6891;3869;https://cdn.myanimelist.net/images/anime/11/19998.jpg;12
009-1: R&B;Special;Finished Airing;Apr 25, 2007;Action, Sci-Fi, Seinen;6.33;N/A;6605;6700;https://cdn.myanimelist.net/images/anime/6/23353.jpg;1
00:08;Movie;Finished Airing;Jun 8, 2014;Dementia;4.92;N/A;10397;5602;https://cdn.myanimelist.net/images/anime/4/69727.jpg;1
07-Ghost;TV;Finished Airing;Apr 7, 2009 to Sep 22, 2009;Action, Demons, Fantasy, Josei, Magic, Military;7.25;N/A;2535;767;https://cdn.myanimelist.net/images/anime/3/22605.jpg;25
1+2=Paradise;OVA;Finished Airing;Feb 23, 1990 to Apr 27, 1990;Comedy, Ecchi, Harem, Romance, Seinen;4.95;N/A;10364;5455;https://cdn.myanimelist.net/images/anime/2/3679.jpg;2
1-gatsu ni wa ChristmasChristmas in January;OVA;Finished Airing;Nov 21, 1991;Drama, Romance;5.69;830;8968;10617;N/A;1
1-ri Botchi no Ookami to 7-hiki no Ko Yagi;OVA;Finished Airing;Jan 15, 1994;Fantasy, Kids;N/A;177;12906;14934;https://cdn.myanimelist.net/images/anime/4/82212.jpg;1
1/100 Rice Planting;ONA;Finished Airing;Jun 26, 2016;Slice of Life;4.90;581;10407;11480;https://cdn.myanimelist.net/images/anime/12/88866.jpg;1
1/100 Shibuya Crossing;ONA;Finished Airing;Jun 28, 2015;Slice of Life;5.21;563;10051;11563;https://cdn.myanimelist.net/images/anime/2/88867.jpg;1
1/100 Train Station;ONA;Finished Airing;Jul 24, 2017;Slice of Life;5.25;580;9979;11485;https://cdn.myanimelist.net/images/anime/3/88868.jpg;1
100%A Hundred Percents;OVA;Finished Airing;Sep 7, 1990;Drama;5.54;711;9374;11008;N/A;1
100% Pascal-sensei;ONA;Finished Airing;Oct 15, 2016 to Mar 15, 2017;Comedy;5.62;456;9156;12072;https://cdn.myanimelist.net/images/anime/11/85447.jpg;6
100% Pascal-sensei (TV)100% Teacher Pascal;TV;Finished Airing;Apr 15, 2017 to Dec 16, 2017;Comedy;5.70;N/A;8954;8460;N/A;36
100% Renewable Energy;Special;Finished Airing;Mar, 2012;Music;5.87;292;8460;13257;https://cdn.myanimelist.net/images/anime/1626/98877.jpg;1
100-man no Inochi no Ue ni Ore wa TatteiruI'm standing on 1,000,000 lives.;TV;Currently Airing;Oct 2, 2020 to ?;Action, Drama, Fantasy, Game, Shounen;6.25;N/A;6982;1540;N/A;12
100-man-nen Chikyuu no Tabi: Bander BookOne-Million Year Trip: Bander Book;Special;Finished Airing;Aug 27, 1978;Sci-Fi;5.73;N/A;8860;10081;N/A;1
1000-nen Joou: Queen Millennia;Movie;Finished Airing;Mar 13, 1982;Adventure, Fantasy, Drama, Sci-Fi;6.81;N/A;4345;7188;https://cdn.myanimelist.net/images/anime/1/2398.jpg;1
1001 Nights;Movie;Finished Airing;Apr 24, 1999;Demons, Fantasy, Romance, Seinen;6.30;N/A;6765;4867;https://cdn.myanimelist.net/images/anime/11/7032.jpg;1
11-nin Iru!They Were Eleven;Movie;Finished Airing;Nov 1, 1986;Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space;7.10;N/A;3190;5153;N/A;1
112 Sabsections of Skyline;ONA;Finished Airing;Oct 20, 2007;Music;5.41;287;9665;13306;https://cdn.myanimelist.net/images/anime/1651/99098.jpg;1
11eyes;TV;Finished Airing;Oct 7, 2009 to Dec 23, 2009;Action, Ecchi, Super Power, Supernatural;6.19;N/A;7266;669;https://cdn.myanimelist.net/images/anime/6/73520.jpg;12
11eyes Picture Drama;Special;Finished Airing;Jun 25, 2010;Comedy;5.53;N/A;9393;6657;https://cdn.myanimelist.net/images/anime/6/54569.jpg;13
11eyes: Momoiro Genmutan;Special;Finished Airing;Jun 25, 2010;Ecchi, Comedy, Super Power, Supernatural;6.07;N/A;7795;2581;https://cdn.myanimelist.net/images/anime/12/22784.jpg;1
12-gatsu no UtaDecember Song;Movie;Finished Airing;1971;Music, Kids;4.64;643;10587;11231;N/A;1
12-sai.Age 12;OVA;Finished Airing;Apr 3, 2014 to Jan 3, 2015;Romance, School, Shoujo;6.30;N/A;6766;4581;N/A;8
12-sai. 2nd Season;OVA;Finished Airing;Jul 3, 2015 to Dec 1, 2015;Romance, School, Shoujo;6.28;N/A;6865;6945;https://cdn.myanimelist.net/images/anime/13/76326.jpg;4
12-sai.: Chicchana Mune no Tokimeki;TV;Finished Airing;Apr 4, 2016 to Jun 20, 2016;Romance, School, Shoujo;6.44;N/A;6122;3127;https://cdn.myanimelist.net/images/anime/11/78391.jpg;12
12-sai.: Chicchana Mune no Tokimeki 2nd Season;TV;Finished Airing;Oct 3, 2016 to Dec 19, 2016;Romance, School, Shoujo;6.61;N/A;5267;4348;https://cdn.myanimelist.net/images/anime/10/80312.jpg;12
123;Music;Finished Airing;Dec 1, 2004;Kids, Music;4.88;286;10428;13307;https://cdn.myanimelist.net/images/anime/10/89907.jpg;1
15 Bishoujo Hyouryuuki;OVA;Finished Airing;Aug 3, 2009 to May 2, 2011;Comedy, Harem, Hentai;6.83;N/A;N/A;3549;https://cdn.myanimelist.net/images/anime/13/31333.jpg;3
15 Sonyeon Uju Pyoryugi;Movie;Finished Airing;1980;Action, Sci-Fi, Shounen, Space;N/A;423;12907;12270;https://cdn.myanimelist.net/images/anime/13/49071.jpg;1
15-sai, Kyou kara Dousei Hajimemasu.;ONA;Finished Airing;Jun 8, 2018 to Jun 29, 2018;Drama, Romance, Shoujo;N/A;N/A;12908;10169;https://cdn.myanimelist.net/images/anime/1516/93211.jpg;30
18if;TV;Finished Airing;Jul 7, 2017 to Sep 29, 2017;Mystery, Supernatural;6.19;N/A;7267;2315;https://cdn.myanimelist.net/images/anime/7/86743.jpg;13
1989;Music;Finished Airing;Jun 3, 2009;Space, Music;5.64;N/A;9110;9896;https://cdn.myanimelist.net/images/anime/4/72346.jpg;1
2;Music;Finished Airing;Oct 6, 2017;Music;4.64;328;10588;12909;https://cdn.myanimelist.net/images/anime/1937/96856.jpg;1
2.43: Seiin Koukou Danshi Volley-bu;TV;Not yet aired;Jan 8, 2021 to ?;Sports, School;N/A;N/A;N/A;4811;https://cdn.myanimelist.net/images/anime/1596/108096.jpg;N/A
20-dai no Heya-hen;Special;Finished Airing;Jan 7, 2015;Slice of Life;5.14;N/A;10160;9188;https://cdn.myanimelist.net/images/anime/3/81169.jpg;1
2002-nen Halmeoni Ondo;Music;Finished Airing;Apr 4, 2002;Music, Kids;4.96;357;10360;12657;https://cdn.myanimelist.net/images/anime/12/76750.jpg;1
2005-nen Uchuu no Tabi;Special;Finished Airing;Dec 31, 2005;Space, Dementia, Sci-Fi;4.48;N/A;10645;8716;https://cdn.myanimelist.net/images/anime/7/81170.jpg;1
2010;Music;Finished Airing;Sep 22, 2010;Music;4.88;888;10429;10477;https://cdn.myanimelist.net/images/anime/11/78672.jpg;1
2020 Nyeon Ujuui Wonder Kiddy2020 Wonder Kiddy;TV;Finished Airing;1989;Sci-Fi, Space;N/A;387;12909;12481;N/A;13
21 Emon;TV;Finished Airing;May 2, 1991 to Mar 26, 1992;Space, Comedy, Sci-Fi;6.10;685;7681;11097;https://cdn.myanimelist.net/images/anime/11/69883.jpg;39
21 Emon Uchuu e Irasshai!;Movie;Finished Airing;Aug 1, 1981;Space, Comedy, Sci-Fi;N/A;453;12910;12086;https://cdn.myanimelist.net/images/anime/1969/96654.jpg;1
21 Emon Uchuu ike! Hadashi no Princess21-Emon: To Space! The Barefoot Princess;Movie;Finished Airing;Mar 7, 1992;Space, Comedy, Sci-Fi;6.04;514;7932;11776;N/A;1
21 Seiki Manga Hajimete Monogatari;Special;Finished Airing;Mar 30, 2001;Adventure, Comedy, Kids, Sci-Fi;N/A;453;12911;12090;https://cdn.myanimelist.net/images/anime/10/27942.jpg;1
21 Seiki wa Minna ga Shuyaku;OVA;Finished Airing;2001;Drama;N/A;146;12912;15524;https://cdn.myanimelist.net/images/anime/12/84892.jpg;1
21-ji no Onna: Newscaster Katsuragi Miki;OVA;Finished Airing;Apr 21, 2001 to Nov 21, 2001;Hentai;5.84;N/A;N/A;7374;https://cdn.myanimelist.net/images/anime/5/31331.jpg;3
22/7;TV;Finished Airing;Jan 11, 2020 to Mar 28, 2020;Music;6.83;N/A;4255;3088;https://cdn.myanimelist.net/images/anime/1485/108385.jpg;12
22/7: 8＋3=?;Special;Finished Airing;Sep 16, 2020;Music;6.57;N/A;5453;6844;https://cdn.myanimelist.net/images/anime/1259/109909.jpg;1
24H;Music;Finished Airing;Jul 28, 2010;Music;5.12;648;10198;11218;https://cdn.myanimelist.net/images/anime/1114/98952.jpg;9
25-sai no Joshikousei;TV;Finished Airing;Jan 8, 2018 to Mar 26, 2018;Ecchi, Romance, School;5.54;N/A;9375;2997;https://cdn.myanimelist.net/images/anime/12/89091.jpg;12
2x1Four Play;OVA;Finished Airing;Feb 25, 1998 to Mar 25, 1998;Hentai;5.28;N/A;N/A;8253;N/A;2
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!;Movie;Finished Airing;Aug 14, 1993;Adventure, Kids;6.09;552;7708;11608;https://cdn.myanimelist.net/images/anime/7/35279.jpg;1
3 Choume no Tama: Uchi no Tama Shirimasen ka?Tama and Friends;TV;Finished Airing;Nov 21, 1988 to Sep 25, 1994;Adventure;6.62;N/A;5239;8837;N/A;36
3-bu de Wakaru Koizumi Yakumo no Kaidan;ONA;Finished Airing;May 9, 2014 to Jul 8, 2015;Historical, Horror, Parody, Supernatural;N/A;247;12913;13809;https://cdn.myanimelist.net/images/anime/1781/91681.jpg;7
3-D Heaven;Music;Finished Airing;Oct 3, 1988;Music, Kids;4.66;436;10576;12190;https://cdn.myanimelist.net/images/anime/5/63727.jpg;1
3-gatsu no LionMarch comes in like a lion;TV;Finished Airing;Oct 8, 2016 to Mar 18, 2017;Drama, Game, Seinen, Slice of Life;8.44;N/A;121;282;N/A;22
3-gatsu no Lion 2nd SeasonMarch Comes In Like A Lion 2nd Season;TV;Finished Airing;Oct 14, 2017 to Mar 31, 2018;Drama, Game, Seinen, Slice of Life;9.02;N/A;9;558;N/A;22
3-gatsu no Lion meets Bump of ChickenMarch comes in like a lion meets Bump of Chicken;Music;Finished Airing;Dec 8, 2014;Music, Drama, Seinen;7.04;N/A;3463;4614;N/A;1
3-gatsu no Lion RecapMarches Comes in Like a Lion: Special Omnibus Episode;Special;Finished Airing;Dec 29, 2016;Drama;6.71;N/A;4776;4404;N/A;1
3-gatsu no Lion: Ugoku! Nya Shogi;Special;Finished Airing;Jan 25, 2017 to Aug 23, 2017;Game;6.08;N/A;7760;8669;https://cdn.myanimelist.net/images/anime/1694/93396.jpg;10
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku;Music;Finished Airing;Mar 3, 2013;Music, School;5.46;910;9575;10423;https://cdn.myanimelist.net/images/anime/7/62569.jpg;1
3-Nen D-Gumi Glass no KamenThe Glass Mask Year 3 Class D;TV;Finished Airing;Oct 3, 2016 to Dec 26, 2016;Comedy, Parody, School;4.74;N/A;10520;8757;N/A;13
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road;Movie;Finished Airing;Jul 22, 2017;Comedy, Parody, School;N/A;554;12914;11604;https://cdn.myanimelist.net/images/anime/9/85972.jpg;1
3-pun de Wakaru! Kore made no Love Live!;ONA;Finished Airing;Apr 27, 2015;Music;5.81;N/A;8635;8737;https://cdn.myanimelist.net/images/anime/1046/105784.jpg;1
3-pun de Wakaru! Kore made no Love Live! Sunshine!!;ONA;Finished Airing;Nov 18, 2018;Music, School;6.01;N/A;8030;9298;https://cdn.myanimelist.net/images/anime/1956/105733.jpg;1
3-tsu no Hanashi;Special;Finished Airing;Jan 15, 1960;Kids, Fantasy;5.01;637;10321;11268;https://cdn.myanimelist.net/images/anime/9/24207.jpg;1
3-tsu no KumoTrilogy about Cloud;Movie;Finished Airing;Aug 20, 2005;Dementia;4.79;N/A;10494;9325;N/A;3
30-pun de Wakaru! Kore made no Love Live!;ONA;Finished Airing;Apr 24, 2015 to May 22, 2015;Music, Slice of Life, School;7.19;N/A;2778;5174;https://cdn.myanimelist.net/images/anime/6/74193.jpg;2
30-pun de Wakaru! Kore made no Love Live! Sunshine!!;ONA;Finished Airing;Nov 18, 2018 to Nov 25, 2018;Music, School;6.17;N/A;7352;9367;https://cdn.myanimelist.net/images/anime/1540/105732.jpg;2
30-sai no Hoken TaiikuA Thirty-Year Old's Health and Physical Education;TV;Finished Airing;Apr 7, 2011 to Jun 23, 2011;Ecchi, Parody, Romance, Seinen;6.71;N/A;4777;2119;N/A;12
30-sai no Hoken Taiiku Specials;Special;Finished Airing;Jul 22, 2011 to Sep 23, 2011;Parody, Romance, Ecchi, Seinen;6.22;N/A;7136;6131;https://cdn.myanimelist.net/images/anime/4/55889.jpg;3
300 En no Otsukiai Anime Edition;OVA;Finished Airing;Sep 2, 2016;Hentai;6.26;N/A;N/A;5781;https://cdn.myanimelist.net/images/anime/1009/103788.jpg;1
30th Gundam Perfect Mission;OVA;Finished Airing;Aug 25, 2009;Mecha, Sci-Fi;6.87;N/A;4114;5903;https://cdn.myanimelist.net/images/anime/9/63385.jpg;1
365-nichi no Love Song;Music;Finished Airing;2011;Kids, Music;N/A;103;12915;16402;https://cdn.myanimelist.net/images/anime/1832/107113.jpg;1
3D Kanojo: Real GirlReal Girl;TV;Finished Airing;Apr 4, 2018 to Jun 20, 2018;Romance, School, Shoujo;6.77;N/A;4508;714;N/A;12
3D Kanojo: Real Girl 2nd Season;TV;Finished Airing;Jan 9, 2019 to Mar 27, 2019;Romance, School, Shoujo;7.67;N/A;1089;1382;https://cdn.myanimelist.net/images/anime/1941/97219.jpg;12
3D Onara Gorou ga Dance Dance Dance!!;Music;Finished Airing;Apr 21, 2016;Comedy, Music;3.48;N/A;10743;8393;https://cdn.myanimelist.net/images/anime/12/81039.jpg;1
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation;OVA;Finished Airing;May 22, 2015;Hentai;6.94;N/A;N/A;4731;https://cdn.myanimelist.net/images/anime/1384/103789.jpg;1
3x3 Eyes;OVA;Finished Airing;Jul 25, 1991 to Mar 19, 1992;Action, Demons, Fantasy, Horror, Romance;6.78;N/A;4484;3343;https://cdn.myanimelist.net/images/anime/4/26940.jpg;4
3x3 Eyes: Seima Densetsu3x3 Eyes: Legend of the Divine Demon;OVA;Finished Airing;Jul 25, 1995 to Jun 25, 1996;Action, Adventure, Horror, Demons, Romance, Fantasy;6.98;N/A;3681;4391;N/A;3
4 Shuunen Monst? Shiru ka yo!4th anniversary monst? I know!;Special;Finished Airing;Oct, 2017;Game, Comedy;5.35;468;9797;12007;N/A;1
4-Day Weekend;Music;Finished Airing;Dec 18, 1998;Music;5.67;N/A;9040;7856;https://cdn.myanimelist.net/images/anime/8/81173.jpg;1
4.Eyes;Movie;Finished Airing;1975;Dementia;4.27;737;10685;10924;https://cdn.myanimelist.net/images/anime/13/73774.jpg;1
4.Eyes Re-Mix 20054-EYES Re-Mix 2005;Movie;Finished Airing;2005;Dementia;N/A;156;12916;15363;N/A;1
40 Shuunen Da yo!! CoroCoro All-Star Shougakkou;ONA;Finished Airing;Jul 15, 2017 to Nov 15, 2017;Comedy, Parody, School;N/A;488;12917;11918;https://cdn.myanimelist.net/images/anime/13/86277.jpg;2
44-hiki no Neko;Music;Finished Airing;Apr 1, 1969;Music, Kids;4.63;N/A;10591;9397;https://cdn.myanimelist.net/images/anime/7/23825.jpg;1
47 Todoufuken;TV;Finished Airing;Apr 7, 2011 to Sep 29, 2011;Kids, Comedy;N/A;358;12918;12662;https://cdn.myanimelist.net/images/anime/11/67133.jpg;26
47 Todoufuken R;TV;Finished Airing;Jan 11, 2014 to Mar 29, 2014;Comedy, Kids;N/A;339;12919;12804;https://cdn.myanimelist.net/images/anime/9/59935.jpg;12
47 Todoufuken Specials;Special;Finished Airing;Mar 20, 2012 to Jun 30, 2012;Kids, Comedy, Romance;N/A;257;12920;13668;https://cdn.myanimelist.net/images/anime/8/71643.jpg;2
48x61;ONA;Finished Airing;2002;Sports, Comedy;5.29;N/A;9899;9134;https://cdn.myanimelist.net/images/anime/5/30453.jpg;1
5-toubun no HanayomeThe Quintessential Quintuplets;TV;Finished Airing;Jan 11, 2019 to Mar 29, 2019;Harem, Comedy, Romance, School, Shounen;7.57;N/A;1347;347;N/A;12
5-toubun no Hanayome ∬;TV;Not yet aired;Jan, 2021 to ?;Harem, Comedy, Romance, School, Shounen;N/A;N/A;N/A;1215;https://cdn.myanimelist.net/images/anime/1775/109514.jpg;N/A
6 Angels;ONA;Finished Airing;Nov 20, 2001 to Jul 6, 2002;Action, Sci-Fi;4.45;N/A;10653;7743;https://cdn.myanimelist.net/images/anime/6/36019.jpg;6
6 Lovers;OVA;Not yet aired;Not available;Comedy, Drama, Romance, School, Shounen Ai, Slice of Life, Supernatural, Yaoi;N/A;N/A;N/A;4642;https://cdn.myanimelist.net/images/anime/9/86278.jpg;N/A
663114;Movie;Finished Airing;Sep, 2011;Fantasy;5.33;N/A;9834;7518;https://cdn.myanimelist.net/images/anime/2/68973.jpg;1
69 Pink Riders;OVA;Finished Airing;Jun 30, 2000;Hentai;4.73;N/A;N/A;9840;https://cdn.myanimelist.net/images/anime/1259/103790.jpg;1
69 Pink Riders 2;OVA;Finished Airing;Feb 18, 2002;Hentai;4.98;981;N/A;10271;https://cdn.myanimelist.net/images/anime/1803/103791.jpg;1
6♥Princess;Music;Finished Airing;Oct 4, 2013;Magic, Music;5.56;N/A;9314;7118;https://cdn.myanimelist.net/images/anime/12/55347.jpg;1
6HP (Six Hearts Princess);Special;Currently Airing;Dec 30, 2016 to ?;Magic;5.93;N/A;8276;6718;https://cdn.myanimelist.net/images/anime/13/72448.jpg;N/A
7 Seeds;ONA;Finished Airing;Jun 28, 2019;Adventure, Drama, Mystery, Psychological, Romance, Sci-Fi, Shoujo;6.54;N/A;5628;1836;https://cdn.myanimelist.net/images/anime/1305/96703.jpg;12
7 Seeds 2nd Season;ONA;Finished Airing;Mar 26, 2020;Sci-Fi, Adventure, Mystery, Psychological, Drama, Romance, Shoujo;7.20;N/A;2756;3169;https://cdn.myanimelist.net/images/anime/1133/106529.jpg;12
7-kakan.;Music;Finished Airing;Jul 9, 2015;Music;5.66;640;9069;11247;https://cdn.myanimelist.net/images/anime/5/78763.jpg;1
77Danui Bimil;Movie;Finished Airing;1978;Action, Drama;5.27;364;9936;12626;https://cdn.myanimelist.net/images/anime/5/45152.jpg;1
8-gatsu no Symphony: Shibuya 2002-2003Symphony in August;Movie;Finished Airing;Aug 22, 2009;Music;6.60;N/A;5336;9761;N/A;1
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation;OVA;Finished Airing;Nov 25, 2016 to Dec 22, 2017;Hentai, Supernatural;6.40;N/A;N/A;5798;https://cdn.myanimelist.net/images/anime/1675/90392.jpg;3
84 Taekwon VRobot Taekwon V 84;Movie;Finished Airing;Aug 3, 1984;Action, Mecha, Sci-Fi;5.22;396;10035;12437;N/A;1
86;TV;Not yet aired;Not available;Sci-Fi, Drama;N/A;N/A;N/A;5941;https://cdn.myanimelist.net/images/anime/1536/106658.jpg;N/A
9;Music;Finished Airing;Dec 20, 2013;Music;5.00;337;10331;12829;https://cdn.myanimelist.net/images/anime/7/87215.jpg;1
91 Days;TV;Finished Airing;Jul 9, 2016 to Oct 1, 2016;Action, Drama, Historical;7.84;N/A;743;269;https://cdn.myanimelist.net/images/anime/13/80515.jpg;12
91 Days: Mijikai Rousoku91 Days: Brief Candle;Special;Finished Airing;Aug 26, 2016;Action, Historical, Drama;6.38;N/A;6403;3400;N/A;1
91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow;Special;Finished Airing;Jul 5, 2017;Action, Historical, Drama;6.88;N/A;4094;2669;N/A;1
91 Daze;Special;Finished Airing;Nov 30, 2016 to Jul 5, 2017;Comedy, Historical;5.62;N/A;9157;7826;https://cdn.myanimelist.net/images/anime/9/88885.jpg;7
_Summer;OVA;Finished Airing;Oct 27, 2006 to Jan 26, 2007;Drama, Harem, Romance;5.70;N/A;8953;4979;https://cdn.myanimelist.net/images/anime/11/75131.jpg;2
_Summer Specials;Special;Finished Airing;Oct 27, 2006 to Jan 26, 2007;Harem;5.40;N/A;9695;7810;https://cdn.myanimelist.net/images/anime/3/75133.jpg;2
A Brightening Life;Movie;Finished Airing;2010;Drama, Music;N/A;173;12921;15035;https://cdn.myanimelist.net/images/anime/1565/103711.jpg;1
A Christmas Song;Music;Finished Airing;Nov 29, 2012;Music;5.71;238;8920;13954;https://cdn.myanimelist.net/images/anime/1341/98522.jpg;1
A Day Before UsA Day Before Us (Season Zero);ONA;Finished Airing;May 10, 2018 to Aug 2, 2019;Romance;7.16;N/A;2911;9425;N/A;19
A KiteKite;OVA;Finished Airing;Feb 25, 1998 to Oct 25, 1998;Action, Hentai, Police, Drama;6.57;N/A;N/A;2262;N/A;2
A Log Day of Timbre;ONA;Finished Airing;Feb 25, 2011;Dementia;4.98;468;10344;12027;https://cdn.myanimelist.net/images/anime/1214/96645.jpg;1
A New Journey;ONA;Finished Airing;Jan 18, 2019;Action, Game;6.29;N/A;6798;9291;https://cdn.myanimelist.net/images/anime/1549/98385.jpg;1
A Piece of Phantasmagoria;OVA;Finished Airing;1995;Fantasy, Kids;6.22;N/A;7137;7243;https://cdn.myanimelist.net/images/anime/1577/92716.jpg;15
A Play;Music;Finished Airing;2011;Music, Dementia;4.69;546;10549;11638;https://cdn.myanimelist.net/images/anime/5/71786.jpg;1
A Sea Doesn't Tell Much;Movie;Finished Airing;2008;Music, Dementia;N/A;57;12922;17033;https://cdn.myanimelist.net/images/anime/1793/106460.jpg;1
A Smart Experiment;Special;Finished Airing;2006;Dementia;4.59;483;10615;11954;https://cdn.myanimelist.net/images/anime/10/72286.jpg;1
A song for You! You? You!!;Music;Finished Airing;Mar 25, 2020;Music;7.03;519;3483;11769;https://cdn.myanimelist.net/images/anime/1611/106138.jpg;1
A Tang Qi YuTea Pets;Movie;Finished Airing;Jul 21, 2017;Adventure, Comedy, Kids;N/A;208;12923;14403;N/A;1
A Woman in a Fashion Building;Movie;Finished Airing;2015;Dementia;4.69;290;10550;13273;https://cdn.myanimelist.net/images/anime/1874/90974.jpg;1
A-Channel;TV;Finished Airing;Apr 8, 2011 to Jun 24, 2011;Comedy, School, Seinen, Slice of Life;6.97;N/A;3702;1509;https://cdn.myanimelist.net/images/anime/5/29687.jpg;12
A-Channel+smile;OVA;Finished Airing;Mar 21, 2012;Comedy, School, Seinen, Slice of Life;7.13;N/A;3040;3574;https://cdn.myanimelist.net/images/anime/12/35321.jpg;2
A-Channel: +A-Channel;Special;Finished Airing;May 25, 2011 to Oct 26, 2011;Comedy, School, Slice of Life, Seinen;6.97;N/A;3703;3796;https://cdn.myanimelist.net/images/anime/9/29573.jpg;11
A-Channel: Nabe wo TabeyouA-Channel: Let's Eat Hot Pot;Special;Finished Airing;Sep 27, 2017;Comedy, School, Seinen, Slice of Life;6.89;N/A;4019;5694;N/A;1
A-Girl;OVA;Finished Airing;Sep 24, 1993;Music, Romance, School, Shoujo;5.58;N/A;9262;8746;https://cdn.myanimelist.net/images/anime/12/82178.jpg;1
